filename,width,height,class,xmin,ymin,xmax,ymax
Kitchen-15-_jpg.rf.003185a6945c91ef260365a4aa9adae7.jpg,640,640,Cupboard,145,423,354,635
Kitchen-15-_jpg.rf.003185a6945c91ef260365a4aa9adae7.jpg,640,640,Cupboard,223,25,545,299
Kitchen-15-_jpg.rf.003185a6945c91ef260365a4aa9adae7.jpg,640,640,Sink,170,411,248,450
Kitchen-15-_jpg.rf.003185a6945c91ef260365a4aa9adae7.jpg,640,640,Fridge,408,324,529,637
Kitchen-15-_jpg.rf.003185a6945c91ef260365a4aa9adae7.jpg,640,640,Stove,326,384,411,445
Kitchen-15-_jpg.rf.003185a6945c91ef260365a4aa9adae7.jpg,640,640,Exhaust Hood,321,272,413,306
Kitchen-15-_jpg.rf.003185a6945c91ef260365a4aa9adae7.jpg,640,640,Washing Machine,354,445,410,637
Kitchen-15-_jpg.rf.003185a6945c91ef260365a4aa9adae7.jpg,640,640,Faucet,157,365,189,432
Toilet-30-_jpg.rf.003a9c0c9a664caeb66f39465af3bfa0.jpg,640,640,Toilet,249,399,483,636
Toilet-30-_jpg.rf.003a9c0c9a664caeb66f39465af3bfa0.jpg,640,640,Toilet Sink,474,382,636,450





img_wm_revamp-7-_jpg.rf.00fda92edcfa77a1c308c39cf93fde1e.jpg,640,640,Closet,148,0,483,640
Toilet-113-_jpg.rf.010a8fa0bef51932dd861e54c3324f76.jpg,640,640,Toilet Sink,476,335,636,420
Toilet-113-_jpg.rf.010a8fa0bef51932dd861e54c3324f76.jpg,640,640,Water Cubicle,0,115,320,625
Toilet-113-_jpg.rf.010a8fa0bef51932dd861e54c3324f76.jpg,640,640,Toilet,278,353,461,561
Toilet-113-_jpg.rf.010a8fa0bef51932dd861e54c3324f76.jpg,640,640,Exhaust Fan,359,131,429,189
Toilet-297-_jpg.rf.013051ee180b79e97205440422f0f925.jpg,640,640,Water Cubicle,0,6,332,640
Toilet-297-_jpg.rf.013051ee180b79e97205440422f0f925.jpg,640,640,Toilet Sink,345,331,601,380




Toilet-8-_jpg.rf.00ad093952cfdae6ba85ae8f87e37b9f.jpg,640,640,Exhaust Fan,13,156,111,219
Toilet-8-_jpg.rf.00ad093952cfdae6ba85ae8f87e37b9f.jpg,640,640,Toilet,196,345,405,531
Toilet-8-_jpg.rf.00ad093952cfdae6ba85ae8f87e37b9f.jpg,640,640,Toilet Sink,366,347,570,455
Toilet-8-_jpg.rf.00ad093952cfdae6ba85ae8f87e37b9f.jpg,640,640,Faucet,482,325,537,368
Toilet-293-_jpg.rf.00ce1a4b49606a0f784c55f37ef8f1c9.jpg,640,640,Bathtub,297,370,640,594
Toilet-293-_jpg.rf.00ce1a4b49606a0f784c55f37ef8f1c9.jpg,640,640,Toilet,221,361,392,551
Toilet-293-_jpg.rf.00ce1a4b49606a0f784c55f37ef8f1c9.jpg,640,640,Toilet Sink,3,366,233,514
Toilet-293-_jpg.rf.00ce1a4b49606a0f784c55f37ef8f1c9.jpg,640,640,Exhaust Fan,249,205,280,236

175_jpg.rf.01826ff0f5479fee5d7eb9bd27f46bf0.jpg,640,640,Toilet,340,378,476,579
175_jpg.rf.01826ff0f5479fee5d7eb9bd27f46bf0.jpg,640,640,Faucet,31,419,130,477
175_jpg.rf.01826ff0f5479fee5d7eb9bd27f46bf0.jpg,640,640,Bathtub,446,424,557,607
175_jpg.rf.01826ff0f5479fee5d7eb9bd27f46bf0.jpg,640,640,Toilet Sink,16,422,253,585


197_jpg.rf.01cce12457cfe1c33e71b591ab9f25d1.jpg,640,640,Cupboard,79,306,283,543
197_jpg.rf.01cce12457cfe1c33e71b591ab9f25d1.jpg,640,640,Faucet,76,224,124,308
197_jpg.rf.01cce12457cfe1c33e71b591ab9f25d1.jpg,640,640,Exhaust Hood,185,146,277,191
197_jpg.rf.01cce12457cfe1c33e71b591ab9f25d1.jpg,640,640,Stove,200,279,301,298
197_jpg.rf.01cce12457cfe1c33e71b591ab9f25d1.jpg,640,640,Exhaust Fan,113,93,138,128
197_jpg.rf.01cce12457cfe1c33e71b591ab9f25d1.jpg,640,640,Sink,71,303,179,325
197_jpg.rf.01cce12457cfe1c33e71b591ab9f25d1.jpg,640,640,Cupboard,134,57,334,194
197_jpg.rf.01cce12457cfe1c33e71b591ab9f25d1.jpg,640,640,Washing Machine,281,312,338,445
